wallet_id,paid_total,power
0x6113dc6542026982d7c94a0bb16e4696523a6383,3.09886,224.56 Mh/s
0x49ef80ac5e769f140d36252ded070993d9127c45,0.20054,28.67 Mh/s
0x3372d1768987ac8faa960d4b1f6fd4f1dc9bdf69,0.95736,272.33 Mh/s
0x2afdbc88cea4696cc69dc3ce48a4ad0270ba5660,12.54517,439.56 Mh/s
0xb1ab2261fbb4f7dd9b49c91f3396b992f3e9f991,0.57053,9.56 Mh/s
0xaf3bd93432a070d115fbbddc1449d405b55497e6,0.60133,43.00 Mh/s
0x687ad30241db8da5d0cb295c1cfa74a2f960c720,3.58011,100.33 Mh/s
0x7f14143fa81c8a49b2533e31b224d273470769fe,0,57.33 Mh/s
0xecd5be353eefe729810291e93f63a9504e26cbbb,1.66953,210.22 Mh/s
0xb90e111bd0c7d31f68e46f7e8b61f8a48bcf319b,35.28394,1.10 Gh/s
0x15a5511908d71f37c4db4157da5c673871092bf4,14.38022,903.00 Mh/s
0xaf22d200d2382a9ba6553d5befb612ffccceb38f,0.90867,215.00 Mh/s
0xe917752f85a7ff8515d5d0dd813e57aec4a59cc1,5.04012,229.33 Mh/s
0xa03f33a7d2c1169e9d9ef52cc1913b3358a3f494,3.58199,86.00 Mh/s
0x72bcf07061202783294ee3f0aa33fc0ebcefc186,8.54316,296.22 Mh/s
0x5d961b9686800419a1a8097c7272cfe19264ead4,2.84151,200.67 Mh/s
0x3aac5e10f2b8760777f850f954d4df98294a1ba6,2.76713,133.78 Mh/s
0x90137afc05ada7068e397378ee4dad74f44fbebd,3.10488,181.56 Mh/s
0x1cc74bf0730786d88529e077196da9096e805248,0.25078,129.00 Mh/s
0x4b0f183f6be19e819d82c6bc1addf629bcbcb0f9,0.15027,0.00 h/s
0x15e23856b8e11495e8f096e2184eaacb3d1ef0c1,24.96034,893.44 Mh/s
0x8709d47cf13b50347772011807c2bffc0d7872e1,3.73587,248.44 Mh/s
0x6da814a1aee7c8388f670998a09d14a2139bc244,2.72351,210.22 Mh/s
0xe3f2614e59e8ca6e6e80f701688cc051800c8e67,2.69019,234.11 Mh/s
0xba404bd91986a90fbefefcf84886d7f6deedd3fa,3.37685,14.33 Mh/s
0x00482aca21809ef72da98007161de52e9cce5a8a,0.80500,109.89 Mh/s
